Data,Open,High,Low,Close,Volume,OI
2015-10-07 00:00:00,4.54,4.81,4.43,4.73,1569909,2405
2015-10-08 00:00:00,4.77,5.33,4.66,5.33,710973,1862
2015-10-09 00:00:00,5.33,5.67,4.84,5.63,1091799,2018
2015-10-13 00:00:00,5.59,5.59,4.77,4.96,444128,1479
2015-10-14 00:00:00,4.84,4.88,4.62,4.84,364634,2275
2015-10-15 00:00:00,4.88,5.07,4.69,4.88,190919,583
2015-10-16 00:00:00,4.88,4.96,4.73,4.84,253289,2220
2015-10-19 00:00:00,4.84,5.11,4.81,5.03,287191,1212
2015-10-20 00:00:00,5.03,5.26,4.92,5.22,369721,1715
2015-10-21 00:00:00,5.11,5.26,4.96,5.07,137524,985
2015-10-22 00:00:00,5.07,5.26,4.88,5.26,290706,2010
2015-10-23 00:00:00,5.26,5.41,5.07,5.26,157337,972
2015-10-26 00:00:00,5.26,5.33,4.84,4.92,165220,1860
2015-10-27 00:00:00,4.92,5.07,4.73,5.07,391958,711
2015-10-28 00:00:00,4.96,4.99,4.81,4.88,205619,1173
2015-10-29 00:00:00,4.88,4.99,4.77,4.84,281971,1419
2015-10-30 00:00:00,4.84,4.88,4.73,4.88,302717,674
2015-11-03 00:00:00,4.88,5.03,4.81,4.99,439042,3514
2015-11-04 00:00:00,4.99,5.07,4.81,4.88,249241,1121
2015-11-05 00:00:00,4.84,4.88,4.69,4.77,280347,563
2015-11-06 00:00:00,4.77,4.81,4.54,4.69,246498,619
2015-11-09 00:00:00,4.66,4.66,4.36,4.39,516219,2273
2015-11-10 00:00:00,4.36,4.43,4.32,4.32,164448,544
2015-11-11 00:00:00,4.36,4.43,4.21,4.21,320027,1244
2015-11-12 00:00:00,4.24,4.24,3.94,4.13,804182,2021
2015-11-13 00:00:00,4.09,4.28,3.98,4.24,877125,15875
2015-11-16 00:00:00,4.21,4.32,4.09,4.32,366499,1502
2015-11-17 00:00:00,4.28,4.43,4.21,4.43,133076,750
2015-11-18 00:00:00,4.47,4.51,4.28,4.28,800214,1570
2015-11-19 00:00:00,4.28,4.36,4.13,4.36,333742,1542
2015-11-23 00:00:00,4.36,4.36,4.17,4.17,157204,629
2015-11-24 00:00:00,4.13,4.28,4.02,4.24,271186,1675
2015-11-25 00:00:00,4.13,4.17,4.02,4.06,234807,975
2015-11-26 00:00:00,4.09,4.09,3.98,4.06,436778,1199
2015-11-27 00:00:00,4.09,4.09,3.98,3.98,94301,694
2015-11-30 00:00:00,3.94,3.98,3.64,3.72,1114382,3974
2015-12-01 00:00:00,3.75,3.79,3.53,3.57,650946,1550
2015-12-02 00:00:00,3.60,3.72,3.53,3.53,512571,2242
2015-12-03 00:00:00,3.68,3.72,3.45,3.53,578376,1920
2015-12-04 00:00:00,3.49,3.53,3.30,3.38,290546,1095
2015-12-07 00:00:00,3.42,3.45,3.19,3.27,224954,1116
2015-12-08 00:00:00,3.27,3.42,2.97,3.42,926979,1701
2015-12-09 00:00:00,3.42,3.60,3.27,3.57,534169,1113
2015-12-10 00:00:00,3.53,3.75,3.45,3.75,262477,922
2015-12-11 00:00:00,3.91,4.13,3.83,3.94,369934,1531
2015-12-14 00:00:00,4.02,4.09,3.79,4.09,224767,1161
2015-12-15 00:00:00,4.13,4.13,3.94,4.09,165673,1349
2015-12-16 00:00:00,4.02,4.06,3.91,4.06,103356,551
2015-12-17 00:00:00,4.06,4.17,4.02,4.13,125939,1370
2015-12-18 00:00:00,4.06,4.09,3.87,3.98,393716,975
2015-12-21 00:00:00,4.02,4.02,3.87,3.87,193236,837
2015-12-22 00:00:00,3.94,3.94,3.72,3.75,214541,1236
2015-12-23 00:00:00,3.72,3.94,3.57,3.94,346445,1450
2015-12-28 00:00:00,3.91,4.06,3.75,3.87,401838,1433
2015-12-29 00:00:00,3.83,3.91,3.72,3.83,194195,1046
2015-12-30 00:00:00,3.87,3.98,3.64,3.98,399495,777
2016-01-04 00:00:00,3.79,3.91,3.64,3.83,252570,1102
2016-01-05 00:00:00,3.83,3.91,3.68,3.75,650600,1330
2016-01-06 00:00:00,3.68,3.72,3.45,3.45,447937,1091
2016-01-07 00:00:00,3.34,3.34,3.12,3.23,481332,651
2016-01-08 00:00:00,3.23,3.30,2.93,3.08,403116,659
2016-01-11 00:00:00,3.15,3.15,2.97,3.04,189934,516
2016-01-12 00:00:00,3.12,3.12,2.74,2.89,404022,985
2016-01-13 00:00:00,2.89,3.00,2.52,2.55,842531,1137
2016-01-14 00:00:00,2.59,2.59,2.03,2.44,2595902,1049
2016-01-15 00:00:00,2.25,2.40,2.18,2.40,1045115,1632
2016-01-18 00:00:00,2.48,2.59,2.33,2.33,472517,1091
2016-01-19 00:00:00,2.40,2.48,2.14,2.14,365513,639
2016-01-20 00:00:00,2.14,2.14,1.95,1.99,926766,570
2016-01-21 00:00:00,1.99,2.10,1.92,1.95,209667,343
2016-01-22 00:00:00,1.99,2.07,1.76,1.76,629934,565
2016-01-26 00:00:00,1.73,1.84,1.58,1.80,687804,1820
2016-01-27 00:00:00,1.80,1.99,1.80,1.84,759442,932
2016-01-28 00:00:00,1.92,1.99,1.80,1.80,687777,802
2016-01-29 00:00:00,1.84,1.95,1.69,1.95,1088923,1228
2016-02-01 00:00:00,1.92,2.03,1.80,1.92,823756,1636
2016-02-02 00:00:00,1.92,2.03,1.80,1.84,510680,1537
2016-02-03 00:00:00,1.88,1.95,1.80,1.88,715554,2812
2016-02-04 00:00:00,1.88,1.99,1.80,1.84,764156,1945
2016-02-05 00:00:00,1.88,2.22,1.88,1.92,1654543,1786
2016-02-10 00:00:00,1.95,2.03,1.80,1.80,535793,372
2016-02-11 00:00:00,1.76,1.80,1.69,1.69,774808,609
2016-02-12 00:00:00,1.76,1.76,1.69,1.76,179388,170
2016-02-15 00:00:00,1.76,1.84,1.76,1.80,321039,300
2016-02-16 00:00:00,1.84,2.03,1.76,2.03,889296,418
2016-02-17 00:00:00,2.07,2.10,1.95,2.03,254168,236
2016-02-18 00:00:00,2.07,2.07,1.88,1.99,153902,872
